student_id,subject_field,language_proficiency,pred_success_prob
LA000392,Psychology,A2,0.5340524327505862
LA000422,Business,A2,0.5356868775581867
LA000506,Psychology,A2,0.536916480245171
LA000131,Engineering,C1,0.5373693181731105
LA000509,English Philology,B2,0.5376542335972645
LA000039,Engineering,B2,0.538233461868572
LA000233,Economics,A2,0.5385924390341607
LA000346,Data Science,B1,0.5386286102198461
LA000055,Logistics,C1,0.5390232792873595
LA000275,Engineering,B1,0.5395230182577266
LA000285,Computer Science,B2,0.5395231701392103
LA000141,Business,B2,0.5396186067587195
LA000457,English Philology,B1,0.5397642332105363
LA000378,Economics,B2,0.5397880766095411
LA000301,English Philology,B1,0.5398113504710553
LA000261,Computer Science,B1,0.5401088196091166
LA000456,Logistics,B2,0.5401175825760766
LA000458,Psychology,A2,0.5401487712669609
LA000465,Logistics,B2,0.5402073053046487
LA000283,English Philology,A2,0.5403370467974089
