student_id,institution,subject_field,language_proficiency,gender,target_success,p_lstm,p_rf,p_hybrid,pred_label
LA000322,TSI Riga,Business,B2,Male,1,0.60704166,0.896850460369534,0.6360225313503689,1
LA000408,Daugavpils University,Business,C1,Prefer not to say,1,0.602236,0.9273396584497728,0.6347462997149114,1
LA000156,TSI Riga,Logistics,C2,Other,1,0.6020944,0.9256803704382613,0.6344529957878752,1
LA000184,Daugavpils University,Data Science,C1,Female,1,0.6055787,0.8913894717061179,0.6341597658809389,1
LA000162,TSI Riga,Logistics,C2,Prefer not to say,1,0.6000761,0.9293767456946042,0.6330061221593346,1
LA000471,Daugavpils University,Economics,B2,Prefer not to say,1,0.6017492,0.9120974690259651,0.6327839866334315,1
LA000169,TSI Riga,Engineering,C2,Other,1,0.5984782,0.9402742070653046,0.6326577870319089,1
LA000177,TSI Riga,English Philology,C1,Other,1,0.60076404,0.9171145634363231,0.6323990769834333,1
LA000405,TSI Riga,English Philology,C2,Other,1,0.6002071,0.917659037677739,0.6319522493450138,1
LA000188,TSI Riga,Psychology,C2,Other,1,0.5995565,0.9226554246626404,0.6318663916178754,1
LA000537,Daugavpils University,Economics,C1,Prefer not to say,1,0.59830767,0.9337070884285427,0.631847593207936,1
LA000528,Daugavpils University,Psychology,C2,Male,1,0.59942603,0.922381005759685,0.6317215285773723,1
LA000482,TSI Riga,Engineering,C2,Prefer not to say,1,0.6024786,0.89303665500686,0.6315343907890771,1
LA000364,Daugavpils University,Engineering,B2,Other,1,0.60030055,0.91140888368551,0.6314113957042138,1
LA000480,TSI Riga,Business,C2,Prefer not to say,1,0.5953419,0.9538963048908399,0.631197359256479,1
LA000345,TSI Riga,Logistics,B2,Male,1,0.5981909,0.9246056257271332,0.6308323639490561,1
LA000194,TSI Riga,Business,C1,Prefer not to say,1,0.60080826,0.8974707309857768,0.6304745096410886,1
LA000347,Daugavpils University,Psychology,B2,Prefer not to say,1,0.5995798,0.9084886191562987,0.6304706919022021,1
LA000589,Daugavpils University,English Philology,B2,Female,1,0.6044542,0.8635434045196017,0.6303631318986459,1
LA000272,TSI Riga,Engineering,C1,Female,1,0.5995048,0.9077101758062096,0.6303253751093074,1
