student_id,institution,subject_field,language_proficiency,gender,target_success,p_lstm,p_rf,p_hybrid,pred_label
LA000392,TSI Riga,Psychology,A2,Female,0,0.58555114,0.07056416248205884,0.5340524327505862,0
LA000422,TSI Riga,Business,A2,Male,0,0.588602,0.0594511348958319,0.5356868775581867,0
LA000506,TSI Riga,Psychology,A2,Female,0,0.5883448,0.07406161012230374,0.536916480245171,0
LA000131,Daugavpils University,Engineering,C1,Other,0,0.59113616,0.05346782372176667,0.5373693181731105,0
LA000509,TSI Riga,English Philology,B2,Male,0,0.5868349,0.09502840660557935,0.5376542335972645,0
LA000039,TSI Riga,Engineering,B2,Female,0,0.5913909,0.0598168660383208,0.538233461868572,0
LA000233,TSI Riga,Economics,A2,Prefer not to say,0,0.5928819,0.04998724796947544,0.5385924390341607,0
LA000346,TSI Riga,Data Science,B1,Female,0,0.5932789,0.04677625741849221,0.5386286102198461,0
LA000055,TSI Riga,Logistics,C1,Prefer not to say,0,0.5903952,0.07667600252172685,0.5390232792873595,0
LA000275,TSI Riga,Engineering,B1,Prefer not to say,0,0.59383553,0.050710567403927084,0.5395230182577266,0
LA000285,TSI Riga,Computer Science,B2,Prefer not to say,0,0.59027344,0.08277104045765386,0.5395231701392103,0
LA000141,TSI Riga,Business,B2,Female,0,0.592708,0.06181414318686582,0.5396186067587195,0
LA000457,TSI Riga,English Philology,B1,Prefer not to say,0,0.5937413,0.053970891027177635,0.5397642332105363,0
LA000378,Daugavpils University,Economics,B2,Male,0,0.59167063,0.07284531325269868,0.5397880766095411,0
LA000301,Daugavpils University,English Philology,B1,Prefer not to say,0,0.5944993,0.0476203120378239,0.5398113504710553,0
LA000261,Daugavpils University,Computer Science,B1,Other,0,0.5932685,0.061671930603495115,0.5401088196091166,0
LA000456,TSI Riga,Logistics,B2,Male,0,0.59201396,0.073050468132897,0.5401175825760766,0
LA000458,TSI Riga,Psychology,A2,Other,0,0.5936315,0.05880451660179881,0.5401487712669609,0
LA000465,TSI Riga,Logistics,B2,Male,0,0.5930059,0.06502011172416056,0.5402073053046487,0
LA000283,Daugavpils University,English Philology,A2,Female,0,0.593421,0.06258150751724097,0.5403370467974089,0
